IP-адрес,Порт,TLS,Дата-центр,Регион,Город,Задержка
104.25.78.2,443,true,HKG,Asia Pacific,Hong Kong,182 мс
104.25.78.3,443,true,HKG,Asia Pacific,Hong Kong,182 мс
104.25.78.208,443,true,HKG,Asia Pacific,Hong Kong,184 мс
104.25.74.234,443,true,HKG,Asia Pacific,Hong Kong,240 мс
104.25.78.1,443,true,HKG,Asia Pacific,Hong Kong,261 мс
104.25.78.12,443,true,HKG,Asia Pacific,Hong Kong,289 мс
104.25.74.237,443,true,HKG,Asia Pacific,Hong Kong,289 мс
104.25.78.212,443,true,HKG,Asia Pacific,Hong Kong,180 мс
104.25.78.209,443,true,HKG,Asia Pacific,Hong Kong,180 мс
104.25.78.244,443,true,HKG,Asia Pacific,Hong Kong,182 мс
104.25.78.243,443,true,HKG,Asia Pacific,Hong Kong,182 мс
104.25.78.219,443,true,HKG,Asia Pacific,Hong Kong,182 мс
104.25.81.249,443,true,HKG,Asia Pacific,Hong Kong,182 мс
104.25.78.210,443,true,HKG,Asia Pacific,Hong Kong,184 мс
104.25.78.211,443,true,HKG,Asia Pacific,Hong Kong,184 мс
104.25.78.226,443,true,HKG,Asia Pacific,Hong Kong,184 мс
104.25.82.2,443,true,HKG,Asia Pacific,Hong Kong,185 мс
104.25.82.187,443,true,HKG,Asia Pacific,Hong Kong,180 мс
104.25.82.208,443,true,HKG,Asia Pacific,Hong Kong,180 мс
104.25.82.191,443,true,HKG,Asia Pacific,Hong Kong,181 мс
104.25.85.215,443,true,HKG,Asia Pacific,Hong Kong,182 мс
104.25.82.186,443,true,HKG,Asia Pacific,Hong Kong,182 мс
104.25.86.160,443,true,HKG,Asia Pacific,Hong Kong,183 мс
104.25.82.190,443,true,HKG,Asia Pacific,Hong Kong,183 мс
