IP-адрес,Порт,TLS,Дата-центр,Регион,Город,Задержка
5.10.245.66,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.244.32,443,true,HKG,Asia Pacific,Hong Kong,123 мс
5.10.246.254,443,true,HKG,Asia Pacific,Hong Kong,123 мс
5.10.244.204,443,true,HKG,Asia Pacific,Hong Kong,123 мс
5.10.244.7,443,true,HKG,Asia Pacific,Hong Kong,123 мс
5.10.245.119,443,true,HKG,Asia Pacific,Hong Kong,123 мс
5.10.244.77,443,true,HKG,Asia Pacific,Hong Kong,123 мс
5.10.247.199,443,true,HKG,Asia Pacific,Hong Kong,123 мс
5.10.244.192,443,true,HKG,Asia Pacific,Hong Kong,123 мс
5.10.245.188,443,true,HKG,Asia Pacific,Hong Kong,123 мс
5.10.247.59,443,true,HKG,Asia Pacific,Hong Kong,124 мс
5.10.244.92,443,true,HKG,Asia Pacific,Hong Kong,124 мс
5.10.247.205,443,true,HKG,Asia Pacific,Hong Kong,124 мс
5.10.245.55,443,true,HKG,Asia Pacific,Hong Kong,124 мс
5.10.244.251,443,true,HKG,Asia Pacific,Hong Kong,124 мс
5.10.244.163,443,true,HKG,Asia Pacific,Hong Kong,124 мс
5.10.245.122,443,true,HKG,Asia Pacific,Hong Kong,124 мс
5.10.246.182,443,true,HKG,Asia Pacific,Hong Kong,124 мс
5.10.245.94,443,true,HKG,Asia Pacific,Hong Kong,124 мс
5.10.244.76,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.245.134,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.244.254,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.244.73,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.245.37,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.244.207,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.245.229,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.244.21,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.245.33,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.246.241,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.244.191,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.244.82,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.244.97,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.246.199,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.245.106,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.244.23,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.246.178,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.245.64,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.245.105,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.244.253,443,true,HKG,Asia Pacific,Hong Kong,125 мс
5.10.245.84,443,true,HKG,Asia Pacific,Hong Kong,126 мс
5.10.244.71,443,true,HKG,Asia Pacific,Hong Kong,126 мс
5.10.245.85,443,true,HKG,Asia Pacific,Hong Kong,126 мс
5.10.245.38,443,true,HKG,Asia Pacific,Hong Kong,126 мс
5.10.246.7,443,true,HKG,Asia Pacific,Hong Kong,126 мс
5.10.246.240,443,true,HKG,Asia Pacific,Hong Kong,126 мс
5.10.246.181,443,true,HKG,Asia Pacific,Hong Kong,126 мс
5.10.246.8,443,true,HKG,Asia Pacific,Hong Kong,126 мс
5.10.244.158,443,true,HKG,Asia Pacific,Hong Kong,126 мс
5.10.247.53,443,true,HKG,Asia Pacific,Hong Kong,126 мс
